unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359698757,120142852,1,46,46,1359698732619,1359698732619,120118471,120118471,0
1359700084,121469536,1,46,46,1359700059060,1359700059060,121444596,121444596,0
1359701391,122776296,1,46,46,1359701365073,1359701365073,122750369,122750369,0
1359701391,122776336,1,46,46,1359701365095,1359701365095,122750431,122750431,0
1359701391,122776372,1,46,46,1359701365060,1359701365060,122750432,122750432,0
1359701391,122776384,1,46,46,1359701365048,1359701365048,122750432,122750432,0
1359701391,122776424,1,46,46,1359701365070,1359701365070,122750494,122750494,0
1359701391,122777076,1,46,46,1359701364417,1359701364417,122750493,122750493,0
1359703224,124610212,1,60,60,1359703199776,1359703199776,124585988,124585988,0
1359703244,124630168,6,276,46,1359703218124,1359703227532,124604292,124613700,9408
1359703689,125074748,1,48,48,1359703659241,1359703659241,125044989,125044989,0
1359707848,129233336,1,46,46,1359707820867,1359707820867,129206203,129206203,0
1359709401,130787176,1,48,48,1359709373541,1359709373541,130759717,130759717,0
1359709507,130892916,1,60,60,1359709478952,1359709478952,130864868,130864868,0
1359710297,131683116,1,46,46,1359710272275,1359710272275,131658391,131658391,0
1359711457,132843096,1,46,46,1359711430933,1359711430933,132817029,132817029,0
1359712470,3067134184,1,404,404,1359712444032,1359712444032,3067108216,3067108216,0
1359712598,133983588,1,48,48,1359712569408,1359712569408,133954996,133954996,0
1359714639,136024652,2,104,52,1359714613923,1359714616931,135999575,136002583,3008
1359716298,137683528,1,60,60,1359716272835,1359716272835,137658363,137658363,0
1359716839,138224740,1,48,48,1359716814057,1359716814057,138199797,138199797,0
1359718141,139526416,1,46,46,1359718114262,1359718114262,139499678,139499678,0
1359718546,139932168,1,48,48,1359718518563,1359718518563,139904731,139904731,0
1359719039,140424196,1,76,76,1359719012903,1359719012903,140398099,140398099,0
1359719209,140594792,1,48,48,1359719182609,1359719182609,140568401,140568401,0
