unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1360072290,493675032,1,127,127,1360072262874,1360072262874,493647906,493647906,0
1360072596,493980836,1,48,48,1360072568408,1360072568408,493953244,493953244,0
1360072958,494342820,11,1040,94.54545455,1360072954403,1360072954659,494339223,494339479,256
1360072958,494342824,13,1288,99.07692308,1360072954722,1360072955042,494339546,494339866,320
1360072958,494342824,12,1334,111.1666667,1360072955169,1360072955489,494339993,494340313,320
1360072958,494342864,15,6998,466.5333333,1360072953847,1360072954615,494338711,494339479,768
1360072968,494352740,15,3688,245.8666667,1360072943732,1360072955060,494328472,494339800,11328
1360072972,494356740,1,76,76,1360072946354,1360072946354,494331094,494331094,0
1360073020,494404868,4,1236,309,1360072995380,1360072995380,494380248,494380248,0
1360073028,494412936,50,65302,1306.04,1360073003502,1360073004334,494388438,494389270,832
1360073060,494444884,1,52,52,1360073034340,1360073034340,494419224,494419224,0
1360073060,494444924,1,52,52,1360073034299,1360073034299,494419223,494419223,0
1360073136,494520960,1,76,76,1360073108117,1360073108117,494493077,494493077,0
1360073217,494601348,3,152,50.66666667,1360073192825,1360073201849,494577173,494586197,9024
1360073308,494692144,1,48,48,1360073280069,1360073280069,494664213,494664213,0
1360073471,494855228,5,309,61.8,1360073466733,1360073466733,494850961,494850961,0
1360073476,3428139872,9,1599,177.6666667,1360073469117,1360073469245,3428132989,3428133117,128
1360073476,3428139872,13,9103,700.2307692,1360073469244,1360073469372,3428133116,3428133244,128
1360073476,3428139880,11,4687,426.0909091,1360073469046,1360073469110,3428132926,3428132990,64
1360073501,494885812,15,7436,495.7333333,1360073473445,1360073478053,494858257,494862865,4608
1360073505,494889836,29,37382,1289.034483,1360073480203,1360073480907,494865039,494865743,704
1360073505,494889836,45,61951,1376.688889,1360073480267,1360073480843,494865103,494865679,576
1360073505,494889880,64,85654,1338.34375,1360073479778,1360073491426,494864658,494876306,11648
1360073509,494893748,3,362,120.6666667,1360073480869,1360073480933,494865617,494865681,64
1360073511,494895220,12,12511,1042.583333,1360073492979,1360073509619,494877199,494893839,16640
1360073511,494895256,14,15322,1094.428571,1360073492434,1360073509586,494876690,494893842,17152
1360073511,494895256,38,50578,1331,1360073492178,1360073510610,494876434,494894866,18432
1360073527,494911272,132,188542,1428.348485,1360073480832,1360073524096,494865104,494908368,43264
1360073533,494917888,1,52,52,1360073507927,1360073507927,494892815,494892815,0
1360073549,494933896,1,52,52,1360073523469,1360073523469,494908365,494908365,0
1360073549,494933896,1,52,52,1360073523469,1360073523469,494908365,494908365,0
1360073549,494933900,1,52,52,1360073523469,1360073523469,494908369,494908369,0
1360073549,494933900,1,52,52,1360073523469,1360073523469,494908369,494908369,0
1360073549,494933944,1,52,52,1360073523422,1360073523422,494908366,494908366,0
1360073549,494933944,1,52,52,1360073523422,1360073523422,494908366,494908366,0
1360073549,494933948,1,52,52,1360073523417,1360073523417,494908365,494908365,0
1360073646,495030128,1,76,76,1360073619983,1360073619983,495004111,495004111,0
1360073684,3428347240,3,586,195.3333333,1360073658105,1360073658105,3428321345,3428321345,0
1360073686,495070084,32,43276,1352.375,1360073658169,1360073658297,495042253,495042381,128
1360073686,495070124,40,55521,1388.025,1360073658063,1360073658191,495042187,495042315,128
1360073714,495098132,1,52,52,1360073688073,1360073688073,495072205,495072205,0
1360073714,495098176,1,52,52,1360073688027,1360073688027,495072203,495072203,0
1360073716,3428379208,1,52,52,1360073688089,1360073688089,3428351297,3428351297,0
1360074155,495539392,1,76,76,1360074130685,1360074130685,495515077,495515077,0
1360074672,496056076,1,76,76,1360074644018,1360074644018,496028094,496028094,0
1360074728,496112128,4,1030,257.5,1360074701375,1360074701439,496085503,496085567,64
1360074732,496116104,18,20921,1162.277778,1360074705812,1360074706580,496089916,496090684,768
1360074764,496148100,1,52,52,1360074736537,1360074736537,496120637,496120637,0
1360074764,496148144,1,52,52,1360074736491,1360074736491,496120635,496120635,0
1360075180,496564844,1,76,76,1360075155244,1360075155244,496540088,496540088,0
1360075485,496869772,37,51440,1390.27027,1360075458925,1360075459053,496843697,496843825,128
1360075485,496869772,31,40863,1318.16129,1360075458989,1360075459053,496843761,496843825,64
1360075486,3430149736,3,586,195.3333333,1360075459091,1360075459155,3430122827,3430122891,64
1360075513,496897848,1,52,52,1360075488864,1360075488864,496873712,496873712,0
1360075513,496897896,1,52,52,1360075488818,1360075488818,496873714,496873714,0
1360075514,3430177712,1,52,52,1360075489133,1360075489133,3430152845,3430152845,0
1360075569,496953348,9,3757,417.4444444,1360075563157,1360075563349,496947505,496947697,192
1360075569,496953352,9,3952,439.1111111,1360075563665,1360075563857,496948017,496948209,192
1360075569,496953384,9,3646,405.1111111,1360075565744,1360075566448,496950128,496950832,704
1360075569,496953420,9,3755,417.2222222,1360075564746,1360075564938,496949166,496949358,192
1360075694,497078188,1,76,76,1360075666931,1360075666931,497051119,497051119,0
1360076203,497587348,1,76,76,1360076178762,1360076178762,497563110,497563110,0
1360076237,497621660,1,46,46,1360076208721,1360076208721,497593381,497593381,0
1360076555,497939952,4,1125,281.25,1360076529834,1360076529834,497914786,497914786,0
1360076560,497944068,28,34990,1249.642857,1360076535069,1360076536861,497919137,497920929,1792
1360076592,497976264,1,52,52,1360076566616,1360076566616,497950880,497950880,0
1360076592,497976264,1,52,52,1360076566616,1360076566616,497950880,497950880,0
1360076716,498100440,9,684,76,1360076689702,1360076705702,498074142,498090142,16000
1360847509,1268891384,1,46,46,1360847481745,1360847481745,1268864129,1268864129,0
1360849074,1270456312,1,48,48,1360849046016,1360849046016,1270428328,1270428328,0
1360850625,4205287724,16,11970,748.125,1360850626560,1360850626752,4205289284,4205289476,192
1360850633,4205294944,8,1467,183.375,1360850627786,1360850627850,4205289730,4205289794,64
1360850633,4205294944,14,9619,687.0714286,1360850628617,1360850628681,4205290561,4205290625,64
1360850633,4205294968,8,1611,201.375,1360850628467,1360850628531,4205290435,4205290499,64
1360850633,4205294968,8,876,109.5,1360850628531,1360850628531,4205290499,4205290499,0
1360850633,4205294968,8,1105,138.125,1360850628851,1360850628915,4205290819,4205290883,64
1360850637,1272019188,15,5402,360.1333333,1360850631844,1360850632292,1272014032,1272014480,448
1360850637,1272019188,16,5671,354.4375,1360850631908,1360850632740,1272014096,1272014928,832
1360850637,1272019232,4,366,91.5,1360850631864,1360850632120,1272014096,1272014352,256
1360850637,1272019236,19,5949,313.1052632,1360850632691,1360850633267,1272014927,1272015503,576
1360850637,1272019236,19,5940,312.6315789,1360850632691,1360850633267,1272014927,1272015503,576
1360850637,1272019240,97,113834,1173.546392,1360850633265,1360850633713,1272015505,1272015953,448
1360850641,4205302952,15,12028,801.8666667,1360850639041,1360850639297,4205300993,4205301249,256
1360850641,4205302956,11,2727,247.9090909,1360850639616,1360850639872,4205301572,4205301828,256
1360850641,4205302956,9,2575,286.1111111,1360850639616,1360850639936,4205301572,4205301892,320
1360850641,4205302956,8,1691,211.375,1360850639616,1360850640448,4205301572,4205302404,832
1360850641,4205302956,8,1649,206.125,1360850639551,1360850639615,4205301507,4205301571,64
1360850641,4205302956,8,1569,196.125,1360850639743,1360850639807,4205301699,4205301763,64
1360850641,4205302956,8,1569,196.125,1360850639807,1360850639807,4205301763,4205301763,0
1360850641,4205302956,8,1569,196.125,1360850639871,1360850639871,4205301827,4205301827,0
1360850641,4205302960,10,1635,163.5,1360850638268,1360850638908,4205300228,4205300868,640
1360850641,4205302964,10,7091,709.1,1360850638903,1360850638967,4205300867,4205300931,64
1360850641,4205302964,12,7931,660.9166667,1360850639030,1360850639350,4205300994,4205301314,320
1360850641,4205302964,8,1649,206.125,1360850639542,1360850639606,4205301506,4205301570,64
1360850641,4205302964,9,2357,261.8888889,1360850639541,1360850639605,4205301505,4205301569,64
1360850641,4205302964,8,1483,185.375,1360850639605,1360850639733,4205301569,4205301697,128
1360850641,4205302964,8,1707,213.375,1360850639605,1360850639797,4205301569,4205301761,192
1360850641,4205302964,8,1569,196.125,1360850639797,1360850639797,4205301761,4205301761,0
1360850649,4205310940,9,1343,149.2222222,1360850643085,1360850643085,4205305025,4205305025,0
1360850649,4205310944,10,7027,702.7,1360850643276,1360850643468,4205305220,4205305412,192
1360850649,4205310944,10,1839,183.9,1360850643084,1360850645900,4205305028,4205307844,2816
1360850649,4205310944,11,7879,716.2727273,1360850643531,1360850643787,4205305475,4205305731,256
1360850649,4205310944,9,2277,253,1360850643851,1360850643915,4205305795,4205305859,64
