unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359702856,124241416,2,120,60,1359702829697,1359702832641,124215113,124218057,2944
1359703688,125074060,1,48,48,1359703658097,1359703658097,125044157,125044157,0
1359705840,3060504716,4,478,119.5,1359705839746,1359705839810,3060504462,3060504526,64
1359705842,127227928,8,3305,413.125,1359705840724,1359705841172,127226652,127227100,448
1359705840,3060504808,3,919,306.3333333,1359705839655,1359705839719,3060504463,3060504527,64
1359705848,3060512704,4,971,242.75,1359705846668,1359705847116,3060511372,3060511820,448
1359705849,127234404,10,2770,277,1359705847903,1359705848095,127233307,127233499,192
1359705849,127234404,8,2634,329.25,1359705848159,1359705848287,127233563,127233691,128
1359705849,127234404,8,2378,297.25,1359705848095,1359705848159,127233499,127233563,64
1359705849,127234408,8,1890,236.25,1359705848282,1359705848346,127233690,127233754,64
1359705849,127234408,7,2662,380.2857143,1359705848413,1359705848541,127233821,127233949,128
1359705849,127234408,9,2430,270,1359705848669,1359705848861,127234077,127234269,192
1359705849,127234408,8,1424,178,1359705846172,1359705846556,127231580,127231964,384
1359705849,127234416,8,2698,337.25,1359705848341,1359705848405,127233757,127233821,64
1359705849,127234416,10,2490,249,1359705848532,1359705848660,127233948,127234076,128
1359705857,127242400,8,1890,236.25,1359705848994,1359705849122,127234394,127234522,128
1359705857,127242400,10,4818,481.8,1359705850658,1359705850722,127236058,127236122,64
1359705857,127242400,8,2394,299.25,1359705850722,1359705850786,127236122,127236186,64
1359705857,127242404,8,1890,236.25,1359705849120,1359705849184,127234524,127234588,64
1359705857,127242404,8,1890,236.25,1359705850976,1359705851040,127236380,127236444,64
1359705857,127242404,8,3442,430.25,1359705851104,1359705851232,127236508,127236636,128
1359705857,127242404,8,1890,236.25,1359705849311,1359705849439,127234715,127234843,128
1359705857,127242404,9,1942,215.7777778,1359705851295,1359705851423,127236699,127236827,128
1359705857,127242404,10,2490,249,1359705849438,1359705849566,127234842,127234970,128
1359705857,127242408,8,2506,313.25,1359705849565,1359705849629,127234973,127235037,64
1359705857,127242408,8,2746,343.25,1359705850011,1359705850075,127235419,127235483,64
1359705857,127242412,8,2021,252.625,1359705853206,1359705853334,127238618,127238746,128
1359705857,127242412,7,1401,200.1428571,1359705854487,1359705855063,127239899,127240475,576
1359705857,127242412,11,3405,309.5454545,1359705842583,1359705855959,127227995,127241371,13376
1359705857,127242412,8,2922,365.25,1359705850775,1359705850839,127236187,127236251,64
1359705857,127242412,8,1890,236.25,1359705849174,1359705849238,127234586,127234650,64
1359705857,127242412,9,3246,360.6666667,1359705850838,1359705850966,127236250,127236378,128
1359705857,127242416,8,1890,236.25,1359705851029,1359705851093,127236445,127236509,64
1359705857,127242416,8,1890,236.25,1359705849237,1359705849301,127234653,127234717,64
1359705857,127242416,8,1890,236.25,1359705851221,1359705851285,127236637,127236701,64
1359705857,127242416,15,3751,250.0666667,1359705843604,1359705856084,127229020,127241500,12480
1359705857,127242416,12,3622,301.8333333,1359705851795,1359705855955,127237211,127241371,4160
1359705857,127242420,10,1994,199.4,1359705849613,1359705849805,127235033,127235225,192
1359705857,127242420,6,1811,301.8333333,1359705844429,1359705855949,127229849,127241369,11520
1359705857,127242420,8,2386,298.25,1359705849809,1359705849873,127235229,127235293,64
1359705857,127242420,8,2378,297.25,1359705849872,1359705850000,127235292,127235420,128
1359705857,127242420,10,2482,248.2,1359705850063,1359705850191,127235483,127235611,128
1359705857,127242420,10,1994,199.4,1359705850190,1359705850382,127235610,127235802,192
1359705857,127242420,8,1977,247.125,1359705853646,1359705855950,127239066,127241370,2304
1359705857,127242440,10,1994,199.4,1359705848826,1359705848954,127234266,127234394,128
1359705857,127242440,10,1994,199.4,1359705850363,1359705850619,127235803,127236059,256
1359705864,3060528704,4,478,119.5,1359705856780,1359705856780,3060521484,3060521484,0
1359705878,127263976,1,108,108,1359705852068,1359705852068,127238044,127238044,0
1359705878,127263976,1,108,108,1359705852004,1359705852004,127237980,127237980,0
1359705878,127264036,1,108,108,1359705852069,1359705852069,127238105,127238105,0
1359705880,3060544776,2,104,52,1359705854727,1359705855175,3060519503,3060519951,448
1359708165,129550260,1,46,46,1359708139019,1359708139019,129524279,129524279,0
1359709401,130786524,1,48,48,1359709373807,1359709373807,130759331,130759331,0
1359710530,131915592,1,46,46,1359710502363,1359710502363,131887955,131887955,0
1359712298,3066961896,1,404,404,1359712273119,1359712273119,3066937015,3066937015,0
1359712596,133981644,1,48,48,1359712568647,1359712568647,133954291,133954291,0
1359714033,135418724,2,104,52,1359714024737,1359714027745,135410461,135413469,3008
1359715232,136617808,1,46,46,1359715206076,1359715206076,136591884,136591884,0
1359715825,137210628,1,60,60,1359715799079,1359715799079,137184707,137184707,0
1359715845,137230700,1,60,60,1359715819933,1359715819933,137205633,137205633,0
1359716254,137639416,1,46,46,1359716250611,1359716250611,137636027,137636027,0
1359717196,138581196,1,46,46,1359717171459,1359717171459,138556655,138556655,0
1359717452,138837672,1,46,46,1359717427041,1359717427041,138812713,138812713,0
1359717452,138837676,1,46,46,1359717427423,1359717427423,138813099,138813099,0
1359717724,139109996,1,46,46,1359717699483,1359717699483,139085479,139085479,0
1359718097,139482476,1,46,46,1359718072286,1359718072286,139457762,139457762,0
1359718101,139486524,1,46,46,1359718074155,1359718074155,139459679,139459679,0
1359718542,139927944,1,48,48,1359718516739,1359718516739,139902683,139902683,0
1359718542,139927980,1,48,48,1359718516830,1359718516830,139902810,139902810,0
1359718605,139991116,1,108,108,1359718603350,1359718603350,139989466,139989466,0
1359718605,139991116,3,2365,788.3333333,1359718603414,1359718603542,139989530,139989658,128
1359718605,139991116,2,216,108,1359718603222,1359718603350,139989338,139989466,128
1359718605,139991116,2,216,108,1359718603414,1359718603542,139989530,139989658,128
1359718610,139995740,9,3009,334.3333333,1359718607308,1359718607500,139993048,139993240,192
1359718610,139995744,11,3294,299.4545455,1359718609033,1359718609865,139994777,139995609,832
1359718610,139995748,7,1966,280.8571429,1359718607364,1359718607684,139993112,139993432,320
1359718610,139995748,8,3492,436.5,1359718607747,1359718608707,139993495,139994455,960
1359718610,139995748,5,1263,252.6,1359718607683,1359718607747,139993431,139993495,64
1359718610,139995752,7,1952,278.8571429,1359718604674,1359718604930,139990426,139990682,256
1359718610,139995752,5,772,154.4,1359718604738,1359718604994,139990490,139990746,256
1359718610,139995752,9,2647,294.1111111,1359718604930,1359718606210,139990682,139991962,1280
1359718611,3073274880,5,451,90.2,1359718607002,1359718607578,3073270882,3073271458,576
1359718612,3073275940,5,451,90.2,1359718610975,1359718611423,3073274915,3073275363,448
1359718612,3073275940,4,1448,362,1359718607775,1359718607839,3073271715,3073271779,64
1359718618,140003752,4,724,181,1359718613441,1359718613505,139999193,139999257,64
1359718618,140003752,6,798,133,1359718610049,1359718610305,139995801,139996057,256
1359718618,140003752,8,1929,241.125,1359718613633,1359718614209,139999385,139999961,576
1359718618,140003752,10,3381,338.1,1359718613696,1359718613952,139999448,139999704,256
1359718618,140003752,6,983,163.8333333,1359718609856,1359718610048,139995608,139995800,192
