unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359738460,159845440,1,46,46,1359738433994,1359738433994,159819434,159819434,0
1359739002,160387560,1,46,46,1359738974857,1359738974857,160360417,160360417,0
1359739066,160451252,1,60,60,1359739040443,1359739040443,160425695,160425695,0
1359739198,160583536,1,60,60,1359739170720,1359739170720,160556256,160556256,0
1359739262,160647696,1,56,56,1359739236735,1359739236735,160622431,160622431,0
1359739514,160900028,1,48,48,1359739485869,1359739485869,160871897,160871897,0
1359739912,161297556,1,46,46,1359739887616,1359739887616,161273172,161273172,0
1359741307,162692572,1,46,46,1359741280539,1359741280539,162666111,162666111,0
1359741744,163129900,5,1659,331.8,1359741739340,1359741739596,163125240,163125496,256
1359741744,163129912,2,98,49,1359741737537,1359741743489,163123449,163129401,5952
1359741744,163129912,2,98,49,1359741737537,1359741743489,163123449,163129401,5952
1359741744,163129912,2,98,49,1359741737664,1359741743488,163123576,163129400,5824
1359741744,163129984,2,98,49,1359741737462,1359741743414,163123446,163129398,5952
1359741744,163129984,2,98,49,1359741737462,1359741743414,163123446,163129398,5952
1359741744,163129988,2,98,49,1359741737462,1359741743414,163123450,163129402,5952
1359741744,163129988,4,190,47.5,1359741737844,1359741743476,163123832,163129464,5632
1359741746,3096410088,3,144,48,1359741738020,1359741743972,3096402108,3096408060,5952
1359741746,3096410092,3,144,48,1359741736480,1359741742048,3096400572,3096406140,5568
1359741746,3096410092,3,144,48,1359741736480,1359741742176,3096400572,3096406268,5696
1359741746,3096410092,4,190,47.5,1359741736480,1359741742176,3096400572,3096406268,5696
1359741746,3096410096,2,98,49,1359741738011,1359741743963,3096402107,3096408059,5952
1359741746,3096410096,3,144,48,1359741738011,1359741743963,3096402107,3096408059,5952
1359741746,3096410100,3,144,48,1359741736471,1359741742167,3096400571,3096406267,5696
1359741746,3096410100,3,144,48,1359741736471,1359741742167,3096400571,3096406267,5696
1359741746,3096410100,3,144,48,1359741736471,1359741742167,3096400571,3096406267,5696
1359741754,163139620,1,46,46,1359741727394,1359741727394,163113014,163113014,0
1359741754,163139732,2,92,46,1359741739954,1359741745714,163125686,163131446,5760
1359741754,163139788,4,190,47.5,1359741739706,1359741745722,163125494,163131510,6016
1359741754,163139792,3,144,48,1359741739766,1359741745654,163125558,163131446,5888
1359741754,163139792,9,875,97.22222222,1359741739833,1359741744953,163125625,163130745,5120
1359741760,163146064,6,450,75,1359741750698,1359741754026,163136762,163140090,3328
1359741761,163146112,12,2876,239.6666667,1359741754210,1359741754914,163139322,163140026,704
1359741762,3096426088,3,144,48,1359741755683,1359741761699,3096419771,3096425787,6016
1359741762,3096426100,3,144,48,1359741755672,1359741761688,3096419772,3096425788,6016
1359741763,3096427524,9,8496,944,1359741737965,1359741738221,3096402489,3096402745,256
1359741763,3096427548,22,22013,1000.590909,1359741737046,1359741738006,3096401594,3096402554,960
1359741763,3096427556,6,4551,758.5,1359741737551,1359741737871,3096402107,3096402427,320
1359741763,3096427560,5,3533,706.6,1359741737930,1359741737994,3096402490,3096402554,64
1359741763,3096427584,4,2213,553.25,1359741737012,1359741737972,3096401596,3096402556,960
1359741764,163149196,23,18751,815.2608696,1359741736842,1359741741578,163122038,163126774,4736
1359741764,163149200,4,658,164.5,1359741736266,1359741736394,163121466,163121594,128
1359741764,163149204,10,2725,272.5,1359741737029,1359741737413,163122233,163122617,384
1359741764,163149224,16,17267,1079.1875,1359741737711,1359741737839,163122935,163123063,128
1359741764,163149224,5,3212,642.4,1359741737711,1359741738671,163122935,163123895,960
1359741764,163149228,5,3172,634.4,1359741737709,1359741738669,163122937,163123897,960
1359741764,163149228,3,903,301,1359741737709,1359741738669,163122937,163123897,960
1359741764,163149228,8,6358,794.75,1359741737709,1359741741549,163122937,163126777,3840
1359741764,163149228,1,137,137,1359741737836,1359741737836,163123064,163123064,0
1359741764,163149272,8,2954,369.25,1359741736704,1359741736832,163121976,163122104,128
1359741764,163149312,8,1522,190.25,1359741737624,1359741740696,163122936,163126008,3072
1359741764,163149312,5,3085,617,1359741737624,1359741738584,163122936,163123896,960
1359741764,163149312,1,137,137,1359741737815,1359741737815,163123127,163123127,0
1359741764,163149316,3,733,244.3333333,1359741738132,1359741738516,163123448,163123832,384
1359741764,163149320,21,23894,1137.809524,1359741738511,1359741738831,163123831,163124151,320
1359741768,163153208,6,635,105.8333333,1359741740032,1359741740352,163125240,163125560,320
1359741768,163153208,6,1109,184.8333333,1359741740031,1359741740543,163125239,163125751,512
1359741768,163153208,6,585,97.5,1359741740031,1359741740351,163125239,163125559,320
1359741768,163153212,4,1247,311.75,1359741740284,1359741740796,163125496,163126008,512
1359741768,163153212,26,19880,764.6153846,1359741740283,1359741755963,163125495,163141175,15680
1359741768,163153212,65,29689,456.7538462,1359741740283,1359741755323,163125495,163140535,15040
1359741768,163153304,6,522,87,1359741739938,1359741740130,163125242,163125434,192
1359741768,163153304,8,4269,533.625,1359741740127,1359741740831,163125431,163126135,704
1359741768,163153304,10,5371,537.1,1359741740191,1359741741151,163125495,163126455,960
1359741768,163153304,18,4038,224.3333333,1359741740254,1359741755294,163125558,163140598,15040
1359741772,163157260,2,98,49,1359741744204,1359741744204,163129464,163129464,0
1359741775,3096439576,8,1036,129.5,1359741750778,1359741751034,3096415354,3096415610,256
1359741776,163161264,2,474,237,1359741751751,1359741751879,163137015,163137143,128
1359741776,163161320,25,18537,741.48,1359741750734,1359741755854,163136054,163141174,5120
1359741781,163166448,1,46,46,1359741753678,1359741753678,163139126,163139126,0
1359741781,163166484,1,46,46,1359741753645,1359741753645,163139129,163139129,0
1359741781,163166568,26,16128,620.3076923,1359741753816,1359741755608,163139384,163141176,1792
1359741781,163166568,23,15728,683.826087,1359741753751,1359741755607,163139319,163141175,1856
1359741781,163166572,12,3534,294.5,1359741754451,1359741754579,163140023,163140151,128
1359741782,163167120,1,46,46,1359741754008,1359741754008,163139128,163139128,0
1359741808,163193300,7,2291,327.2857143,1359741781669,1359741782373,163166969,163167673,704
1359741808,163193312,1,137,137,1359741782617,1359741782617,163167929,163167929,0
1359741808,163193380,2,123,61.5,1359741781652,1359741781716,163167032,163167096,64
1359741808,163193380,3,169,56.33333333,1359741781651,1359741781715,163167031,163167095,64
1359741816,163201224,5,2762,552.4,1359741788463,1359741788719,163173687,163173943,256
1359741816,163201228,34,31815,935.7352941,1359741788778,1359741789738,163174006,163174966,960
1359741824,163209296,2,123,61.5,1359741799784,1359741799784,163185080,163185080,0
1359741824,163209296,1,77,77,1359741799784,1359741799784,163185080,163185080,0
1359741824,163209296,3,138,46,1359741799655,1359741799655,163184951,163184951,0
1359741824,163209384,1,77,77,1359741799696,1359741799696,163185080,163185080,0
1359741828,163213248,1,77,77,1359741800792,1359741800792,163186040,163186040,0
1359741828,163213248,1,77,77,1359741800792,1359741800792,163186040,163186040,0
1359741828,163213336,2,123,61.5,1359741800702,1359741800766,163186038,163186102,64
1359741828,163213336,2,123,61.5,1359741800765,1359741800765,163186101,163186101,0
1359741840,163225388,1,137,137,1359741814028,1359741814028,163199416,163199416,0
1359741848,163233404,6,1079,179.8333333,1359741822396,1359741828668,163207800,163214072,6272
1359741852,163237480,2,123,61.5,1359741825646,1359741825646,163211126,163211126,0
1359741852,163237572,1,77,77,1359741825555,1359741825555,163211127,163211127,0
1359741856,163242072,2,92,46,1359741855709,1359741855709,163241781,163241781,0
1359741856,163242072,2,92,46,1359741855709,1359741855709,163241781,163241781,0
1359741856,163242080,3,138,46,1359741852632,1359741852696,163238712,163238776,64
1359741856,163242088,2,92,46,1359741853647,1359741853647,163239735,163239735,0
1359741856,163242088,3,138,46,1359741853647,1359741854223,163239735,163240311,576
1359741857,163242124,3,138,46,1359741856658,1359741856722,163241782,163241846,64
1359741857,163242124,3,138,46,1359741856658,1359741856786,163241782,163241910,128
1359741857,163242124,3,138,46,1359741856658,1359741856722,163241782,163241846,64
1359741868,163253512,2,123,61.5,1359741843599,1359741843663,163229111,163229175,64
1359741868,163253512,1,77,77,1359741843599,1359741843599,163229111,163229111,0
1359741868,163253612,2,123,61.5,1359741843498,1359741843626,163229110,163229238,128
1359741872,163257468,2,123,61.5,1359741844665,1359741844793,163230133,163230261,128
1359741872,163257500,2,123,61.5,1359741845593,1359741845657,163231093,163231157,64
1359741872,163257576,2,123,61.5,1359741844559,1359741844623,163230135,163230199,64
1359741872,163257576,1,77,77,1359741844559,1359741844559,163230135,163230135,0
1359741872,163257592,1,137,137,1359741845888,1359741845888,163231480,163231480,0
1359741873,163258172,7,412,58.85714286,1359741869988,1359741870052,163255160,163255224,64
1359741873,163258172,7,412,58.85714286,1359741869923,1359741869987,163255095,163255159,64
1359741876,163261616,2,92,46,1359741851112,1359741851176,163236728,163236792,64
1359741880,3096543768,2,92,46,1359741854629,1359741854629,3096518397,3096518397,0
1359741880,3096543768,1,46,46,1359741854629,1359741854629,3096518397,3096518397,0
1359741880,3096543768,1,46,46,1359741854629,1359741854629,3096518397,3096518397,0
1359741880,3096543800,1,46,46,1359741854597,1359741854597,3096518397,3096518397,0
1359741880,3096543800,1,46,46,1359741854597,1359741854597,3096518397,3096518397,0
1359741880,163265476,1,46,46,1359741854259,1359741854259,163239735,163239735,0
1359741880,163265476,2,92,46,1359741854576,1359741854640,163240052,163240116,64
1359741880,163265484,2,92,46,1359741855209,1359741855273,163240693,163240757,64
1359741880,163265552,1,46,46,1359741854181,1359741854181,163239733,163239733,0
1359741880,163265556,1,46,46,1359741854178,1359741854178,163239734,163239734,0
1359741880,163265560,1,46,46,1359741855133,1359741855133,163240693,163240693,0
1359741882,3096546120,5,871,174.2,1359741877444,1359741877636,3096541564,3096541756,192
1359741884,163269476,2,92,46,1359741857265,1359741857265,163242741,163242741,0
1359741884,163269568,1,46,46,1359741857172,1359741857172,163242740,163242740,0
1359741888,163273528,1,46,46,1359741863740,1359741863740,163249268,163249268,0
1359741888,163273532,1,46,46,1359741859899,1359741859899,163245431,163245431,0
1359741896,163281444,3,491,163.6666667,1359741868240,1359741868368,163253684,163253812,128
1359741896,163282108,9,516,57.33333333,1359741889082,1359741892602,163275190,163278710,3520
1359741896,163282108,6,421,70.16666667,1359741889082,1359741890042,163275190,163276150,960
1359741896,163282108,6,378,63,1359741889273,1359741889657,163275381,163275765,384
1359741897,163282176,6,378,63,1359741890205,1359741890589,163275381,163275765,384
1359741897,163282180,8,458,57.25,1359741890904,1359741890968,163276084,163276148,64
1359741900,163285488,18,8221,456.7222222,1359741872805,1359741873125,163258293,163258613,320
1359741900,163285568,6,483,80.5,1359741872661,1359741872981,163258229,163258549,320
1359741900,163285576,5,336,67.2,1359741872847,1359741873039,163258423,163258615,192
1359741904,3096567772,10,9832,983.2,1359741878303,1359741878623,3096542075,3096542395,320
1359741904,3096567772,10,7415,741.5,1359741878303,1359741878687,3096542075,3096542459,384
1359741904,3096567772,6,4224,704,1359741878303,1359741879327,3096542075,3096543099,1024
1359741904,3096567780,2,112,56,1359741879001,1359741879705,3096542781,3096543485,704
1359741904,3096567808,27,27108,1004,1359741877948,1359741879804,3096541756,3096543612,1856
1359741904,3096567808,5,2656,531.2,1359741878203,1359741878843,3096542011,3096542651,640
1359741904,3096567820,6,2216,369.3333333,1359741878321,1359741879345,3096542141,3096543165,1024
1359741904,163289456,4,798,199.5,1359741877190,1359741877318,163262646,163262774,128
1359741904,163289456,3,168,56,1359741877381,1359741879045,163262837,163264501,1664
1359741904,163289540,4,384,96,1359741877104,1359741880368,163262644,163265908,3264
1359741904,163289540,3,168,56,1359741877360,1359741879152,163262900,163264692,1792
1359741904,163289540,3,168,56,1359741877424,1359741879664,163262964,163265204,2240
1359741908,163293540,1,137,137,1359741880434,1359741880434,163265974,163265974,0
1359741921,163306152,3,144,48,1359741913203,1359741918259,163298355,163303411,5056
