unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1360768722,1190104296,1,46,46,1360768695502,1360768695502,1190077798,1190077798,0
1360769921,1191302896,1,46,46,1360769895691,1360769895691,1191277587,1191277587,0
1360770851,1192233772,1,46,46,1360770823057,1360770823057,1192205829,1192205829,0
1360770891,1192273616,7,3214,459.1428571,1360770889452,1360770889580,1192272068,1192272196,128
1360770891,1192273624,8,2747,343.375,1360770889891,1360770890147,1192272515,1192272771,256
1360770899,1192281540,10,3832,383.2,1360770891194,1360770891578,1192273734,1192274118,384
1360770899,1192281540,50,36183,723.66,1360770891639,1360770896183,1192274179,1192278723,4544
1360770899,1192281588,9,4124,458.2222222,1360770890439,1360770891015,1192273027,1192273603,576
1360770899,1192281592,10,3832,383.2,1360770891076,1360770891524,1192273668,1192274116,448
1360770899,1192281592,54,49333,913.5740741,1360770891588,1360770893892,1192274180,1192276484,2304
1360770906,4125568672,10,2488,248.8,1360770898405,1360770901221,4125561077,4125563893,2816
1360770906,4125568692,14,9170,655,1360770898384,1360770900048,4125561076,4125562740,1664
1360770912,1192293896,14,3598,257,1360770887612,1360770888380,1192269508,1192270276,768
1360770914,4125576676,13,8715,670.3846154,1360770898401,1360770908129,4125561077,4125570805,9728
1360770914,4125576676,16,13753,859.5625,1360770898401,1360770908705,4125561077,4125571381,10304
1360770914,4125576676,14,8687,620.5,1360770898401,1360770908001,4125561077,4125570677,9600
1360770914,4125576680,9,2364,262.6666667,1360770909342,1360770909534,4125572022,4125572214,192
1360770914,4125576680,9,2566,285.1111111,1360770909532,1360770909980,4125572212,4125572660,448
1360770914,4125576680,8,1490,186.25,1360770909532,1360770909852,4125572212,4125572532,320
1360770914,4125576680,8,1442,180.25,1360770909532,1360770910172,4125572212,4125572852,640
1360770914,4125576680,8,1506,188.25,1360770909532,1360770910172,4125572212,4125572852,640
1360770914,4125576680,9,2422,269.1111111,1360770909532,1360770909980,4125572212,4125572660,448
1360770914,4125576684,8,1714,214.25,1360770909849,1360770910041,4125572533,4125572725,192
1360770914,4125576684,9,2326,258.4444444,1360770909977,1360770910169,4125572661,4125572853,192
1360770914,4125576684,8,1240,155,1360770910360,1360770910488,4125573044,4125573172,128
1360770914,4125576684,8,1474,184.25,1360770909976,1360770910296,4125572660,4125572980,320
1360770914,4125576700,12,9490,790.8333333,1360770908554,1360770908810,4125571254,4125571510,256
1360770914,4125576700,16,14375,898.4375,1360770898375,1360770908167,4125561075,4125570867,9792
1360770914,4125576704,8,1656,207,1360770909316,1360770909508,4125572020,4125572212,192
1360770914,4125576704,8,1656,207,1360770909316,1360770909316,4125572020,4125572020,0
1360770914,4125576704,8,1426,178.25,1360770909507,1360770910147,4125572211,4125572851,640
1360770915,1192297588,3,193,64.33333333,1360770914119,1360770914119,1192296707,1192296707,0
1360770915,1192297776,56,22597,403.5178571,1360770887565,1360770888845,1192270341,1192271621,1280
1360770915,1192297784,19,4780,251.5789474,1360770888580,1360770890244,1192271364,1192273028,1664
1360770915,1192297812,5,380,76,1360770889449,1360770893545,1192272261,1192276357,4096
1360770916,1192297852,15,3767,251.1333333,1360770888617,1360770899753,1192270469,1192281605,11136
1360770920,1192301948,15,9217,614.4666667,1360770894535,1360770897607,1192276483,1192279555,3072
1360770920,1192301960,20,6183,309.15,1360770895548,1360770896380,1192277508,1192278340,832
1360770922,4125584672,14,8058,575.5714286,1360770916069,1360770918245,4125578741,4125580917,2176
1360770922,4125584676,10,3710,371,1360770917152,1360770917728,4125579828,4125580404,576
1360770922,4125584680,8,1554,194.25,1360770917725,1360770918045,4125580405,4125580725,320
1360770922,4125584684,8,1346,168.25,1360770919129,1360770919257,4125581813,4125581941,128
1360770922,4125584684,12,8546,712.1666667,1360770919321,1360770919577,4125582005,4125582261,256
1360770922,4125584684,8,1240,155,1360770919193,1360770919257,4125581877,4125581941,64
1360770922,4125584684,8,1442,180.25,1360770919320,1360770919512,4125582004,4125582196,192
1360770922,4125584684,8,1298,162.25,1360770919448,1360770919512,4125582132,4125582196,64
1360770922,4125584684,8,1576,197,1360770919512,1360770919640,4125582196,4125582324,128
1360770922,4125584696,9,1602,178,1360770916046,1360770916942,4125578742,4125579638,896
1360770922,4125584700,11,2670,242.7272727,1360770916936,1360770918344,4125579636,4125581044,1408
1360770922,4125584704,15,14403,960.2,1360770918021,1360770918789,4125580725,4125581493,768
1360770922,4125584704,8,1298,162.25,1360770921285,1360770921477,4125583989,4125584181,192
1360770922,4125584704,10,7034,703.4,1360770915587,1360770915843,4125578291,4125578547,256
1360770922,4125584708,8,1506,188.25,1360770919296,1360770919552,4125582004,4125582260,256
1360770922,4125584708,8,1458,182.25,1360770919296,1360770919488,4125582004,4125582196,192
1360770922,4125584708,8,1576,197,1360770919424,1360770919552,4125582132,4125582260,128
1360770922,4125584708,8,1576,197,1360770919488,1360770919552,4125582196,4125582260,64
1360770922,4125584708,8,1576,197,1360770919488,1360770919616,4125582196,4125582324,128
1360770922,4125584708,7,1246,178,1360770919616,1360770919616,4125582324,4125582324,0
1360770922,4125584708,8,1730,216.25,1360770919552,1360770919744,4125582260,4125582452,192
1360770923,1192305676,17,3791,223,1360770914098,1360770918514,1192296774,1192301190,4416
1360770924,1192305868,8,3893,486.625,1360770896855,1360770897303,1192278723,1192279171,448
1360770927,1192309800,49,29773,607.6122449,1360770900149,1360770926837,1192282949,1192309637,26688
1360770928,4125590620,8,1666,208.25,1360770923862,1360770923990,4125586482,4125586610,128
1360770930,4125592660,8,1123,140.375,1360770928303,1360770928367,4125590963,4125591027,64
1360770930,4125592664,9,2284,253.7777778,1360770925421,1360770925485,4125588085,4125588149,64
