unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359739904,161289712,1,46,46,1359739876707,1359739876707,161262419,161262419,0
1359740096,161481840,1,46,46,1359740069282,1359740069282,161455122,161455122,0
1359740417,161802672,1,46,46,1359740390916,1359740390916,161776588,161776588,0
1359741551,162936968,1,46,46,1359741525577,1359741525577,162911545,162911545,0
1359742322,3096986372,1,46,46,1359742293898,1359742293898,3096958270,3096958270,0
1359742575,163960104,1,48,48,1359742548893,1359742548893,163933997,163933997,0
1359742770,164155664,3,230,76.66666667,1359742767911,1359742769255,164153575,164154919,1344
1359742797,164183032,3,267,89,1359742771642,1359742787770,164157674,164173802,16128
1359742837,164222956,1,89,89,1359742809410,1359742809410,164195366,164195366,0
1359742878,164263344,1,89,89,1359742853094,1359742853094,164238438,164238438,0
1359742966,164351716,11,3246,295.0909091,1359742940464,1359742941808,164326180,164327524,1344
1359743042,164427940,2,141,70.5,1359743038351,1359743038351,164424291,164424291,0
1359743062,164448088,9,3142,349.1111111,1359743036218,1359743039354,164422306,164425442,3136
1359743808,165194048,1,46,46,1359743782551,1359743782551,165168599,165168599,0
1359744077,165462708,1,46,46,1359744051560,1359744051560,165437268,165437268,0
1359746403,167788360,1,86,86,1359746377954,1359746377954,167763314,167763314,0
1359746459,167844452,1,46,46,1359746433731,1359746433731,167819183,167819183,0
1359746631,168016868,1,46,46,1359746604258,1359746604258,167990126,167990126,0
1359746648,168033520,6,497,82.83333333,1359746639935,1359746646719,168025455,168032239,6784
1359746680,168065372,2,178,89,1359746654097,1359746668625,168039469,168053997,14528
1359746724,168109620,1,89,89,1359746697495,1359746697495,168083115,168083115,0
1359746784,168169140,16,6327,395.4375,1359746777782,1359746778358,168162922,168163498,576
1359746784,168169140,16,6330,395.625,1359746777782,1359746778422,168162922,168163562,640
1359746784,168169144,16,5946,371.625,1359746778100,1359746778420,168163244,168163564,320
1359746784,168169144,14,3090,220.7142857,1359746778291,1359746778803,168163435,168163947,512
1359746784,168169144,4,369,92.25,1359746778737,1359746778801,168163881,168163945,64
1359746784,168169148,4,369,92.25,1359746778733,1359746778797,168163881,168163945,64
1359746784,168169148,4,369,92.25,1359746778737,1359746778801,168163885,168163949,64
1359746784,168169212,16,6329,395.5625,1359746777710,1359746778350,168162922,168163562,640
1359746784,168169212,15,6210,414,1359746777710,1359746778158,168162922,168163370,448
1359746784,168169212,21,9836,468.3809524,1359746777773,1359746778093,168162985,168163305,320
1359746784,168169216,14,4970,355,1359746781740,1359746782124,168166956,168167340,384
1359746784,168169216,16,6334,395.875,1359746777708,1359746778284,168162924,168163500,576
1359746784,168169216,16,6327,395.4375,1359746777708,1359746778348,168162924,168163564,640
1359746804,168189564,1,131,131,1359746777293,1359746777293,168162857,168162857,0
1359746804,168189564,11,3104,282.1818182,1359746777361,1359746777489,168162925,168163053,128
1359746804,168189564,1,111,111,1359746777296,1359746777296,168162860,168162860,0
1359746804,168189564,1,249,249,1359746777296,1359746777296,168162860,168162860,0
1359746804,168189564,1,88,88,1359746777487,1359746777487,168163051,168163051,0
1359746804,168189564,10,5910,591,1359746777550,1359746797454,168163114,168183018,19904
1359746804,168189564,1,163,163,1359746777614,1359746777614,168163178,168163178,0
1359746804,168189584,2,160,80,1359746778233,1359746796409,168163817,168181993,18176
1359746804,168189588,1,87,87,1359746778293,1359746778293,168163881,168163881,0
1359746804,168189588,1,146,146,1359746778293,1359746778293,168163881,168163881,0
