unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359777016,198401264,1,46,46,1359776987502,1359776987502,198372766,198372766,0
1359777243,198628288,1,46,46,1359777214868,1359777214868,198600156,198600156,0
1359780589,201974204,4,403,100.75,1359780588021,1359780588469,201973225,201973673,448
1359780589,201974208,10,5927,592.7,1359780577200,1359780585456,201962408,201970664,8256
1359780589,201974208,15,5830,388.6666667,1359780577455,1359780585199,201962663,201970407,7744
1359780597,201982216,7,3784,540.5714286,1359780591015,1359780592231,201976231,201977447,1216
1359780597,201982256,10,6015,601.5,1359780585921,1359780589313,201971177,201974569,3392
1359780597,201982256,14,6379,455.6428571,1359780590975,1359780596607,201976231,201981863,5632
1359780605,201990216,3,404,134.6666667,1359780580070,1359780599526,201965286,201984742,19456
1359780605,201990228,15,17002,1133.466667,1359780602780,1359780603612,201988008,201988840,832
1359780605,201990264,5,695,139,1359780601336,1359780601848,201986600,201987112,512
1359780605,201990268,5,699,139.8,1359780602163,1359780602547,201987431,201987815,384
1359780607,201992672,2,1161,580.5,1359780580190,1359780580254,201965862,201965926,64
1359780613,201998216,7,3718,531.1428571,1359780605670,1359780606054,201990886,201991270,384
1359780613,201998216,8,6073,759.125,1359780604710,1359780605478,201989926,201990694,768
1359780613,201998216,6,1879,313.1666667,1359780604710,1359780605478,201989926,201990694,768
1359780613,201998260,5,1608,321.6,1359780604665,1359780605433,201989925,201990693,768
1359780613,201998260,6,1741,290.1666667,1359780604733,1359780605437,201989993,201990697,704
1359780615,202000616,12,6366,530.5,1359780590425,1359780596441,201976041,201982057,6016
1359780621,202006224,8,1210,151.25,1359780616864,1359780618464,202002088,202003688,1600
1359780623,202008568,7,3114,444.8571429,1359780595209,1359780596681,201980777,201982249,1472
1359780623,202008648,6,2657,442.8333333,1359780595320,1359780595576,201980968,201981224,256
1359780627,202012700,3,636,212,1359780601730,1359780601858,201987430,201987558,128
1359780629,202014220,4,1382,345.5,1359780620900,1359780627492,202006120,202012712,6592
1359780629,202014228,5,1552,310.4,1359780621404,1359780621788,202006632,202007016,384
1359780629,202014260,6,2040,340,1359780623868,1359780624188,202009128,202009448,320
1359780629,202014260,9,5601,622.3333333,1359780624058,1359780624634,202009318,202009894,576
1359780629,202014264,9,5844,649.3333333,1359780624181,1359780624693,202009445,202009957,512
1359780629,202014264,76,82958,1091.552632,1359780621369,1359780624249,202006633,202009513,2880
1359780629,202014264,7,4544,649.1428571,1359780624757,1359780625269,202010021,202010533,512
1359780629,202014268,5,1367,273.4,1359780620660,1359780621364,202005928,202006632,704
1359780637,202022240,4,638,159.5,1359780623629,1359780631565,202008869,202016805,7936
1359780637,202022240,10,6169,616.9,1359780629453,1359780634893,202014693,202020133,5440
1359780637,202022248,7,5452,778.8571429,1359780622215,1359780629511,202007463,202014759,7296
1359780637,202022248,4,668,167,1359780622662,1359780629574,202007910,202014822,6912
