unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1360339998,761381244,25,29397,1175.88,1360339971045,1360339971237,761354289,761354481,192
1360339998,761381280,1,52,52,1360339973505,1360339973505,761356785,761356785,0
1360339998,761381284,1,52,52,1360339973631,1360339973631,761356915,761356915,0
1360339998,761381284,1,52,52,1360339973631,1360339973631,761356915,761356915,0
1360339998,3694661184,1,52,52,1360339972033,1360339972033,3694635217,3694635217,0
1360339998,3694661196,1,52,52,1360339972531,1360339972531,3694635727,3694635727,0
1360339998,3694661196,1,52,52,1360339972531,1360339972531,3694635727,3694635727,0
1360339998,3694661196,1,52,52,1360339972529,1360339972529,3694635725,3694635725,0
1360339998,3694661200,1,52,52,1360339972848,1360339972848,3694636048,3694636048,0
1360339998,3694661224,1,52,52,1360339971989,1360339971989,3694635213,3694635213,0
1360339998,3694661228,1,52,52,1360339972117,1360339972117,3694635345,3694635345,0
1360339998,3694661228,1,52,52,1360339972116,1360339972116,3694635344,3694635344,0
1360339998,3694661228,1,52,52,1360339972180,1360339972180,3694635408,3694635408,0
1360339998,3694661232,1,52,52,1360339972561,1360339972561,3694635793,3694635793,0
1360339998,3694661232,1,52,52,1360339972816,1360339972816,3694636048,3694636048,0
1360339998,3694661232,1,52,52,1360339972880,1360339972880,3694636112,3694636112,0
1360340001,761384512,2,98,49,1360339974362,1360339997658,761357874,761381170,23296
1360340002,761385292,1,52,52,1360339976055,1360339976055,761359347,761359347,0
1360340002,761385292,1,46,46,1360339976438,1360339976438,761359730,761359730,0
1360340002,761385292,1,46,46,1360339976438,1360339976438,761359730,761359730,0
1360340002,761385292,1,46,46,1360339976437,1360339976437,761359729,761359729,0
1360340002,761385292,1,46,46,1360339976437,1360339976437,761359729,761359729,0
1360340002,761385296,1,46,46,1360339976308,1360339976308,761359604,761359604,0
1360340002,761385296,1,46,46,1360339976435,1360339976435,761359731,761359731,0
1360340002,761385296,1,46,46,1360339976435,1360339976435,761359731,761359731,0
1360340002,761385296,1,46,46,1360339976435,1360339976435,761359731,761359731,0
1360340002,761385368,1,46,46,1360339976362,1360339976362,761359730,761359730,0
1360340002,761385368,1,46,46,1360339976361,1360339976361,761359729,761359729,0
1360340002,761385368,1,46,46,1360339976361,1360339976361,761359729,761359729,0
1360340002,3694665176,1,52,52,1360339974599,1360339974599,3694637775,3694637775,0
1360340009,761392576,4,237,59.25,1360339983516,1360340006300,761367092,761389876,22784
1360340010,761393256,1,46,46,1360339985242,1360339985242,761368498,761368498,0
1360340010,761393260,1,52,52,1360339982103,1360339982103,761365363,761365363,0
1360340010,761393296,1,52,52,1360339983666,1360339983666,761366962,761366962,0
1360340010,761393336,1,46,46,1360339982026,1360339982026,761365362,761365362,0
1360340010,761393376,1,52,52,1360339983778,1360339983778,761367154,761367154,0
1360340010,761393376,1,52,52,1360339983779,1360339983779,761367155,761367155,0
1360340010,761393384,1,46,46,1360339984539,1360339984539,761367923,761367923,0
1360340010,761393384,1,46,46,1360339984539,1360339984539,761367923,761367923,0
1360340010,761393384,1,46,46,1360339984602,1360339984602,761367986,761367986,0
1360340010,761393384,1,46,46,1360339984601,1360339984601,761367985,761367985,0
1360340014,761397244,1,46,46,1360339986469,1360339986469,761369713,761369713,0
1360340014,761397248,1,46,46,1360339986468,1360339986468,761369716,761369716,0
1360340014,761397320,1,46,46,1360339986393,1360339986393,761369713,761369713,0
1360340022,761405296,1,46,46,1360339996593,1360339996593,761379889,761379889,0
1360340022,761405344,1,46,46,1360339996353,1360339996353,761379697,761379697,0
1360340025,761408664,3,191,63.66666667,1360340015811,1360340022467,761399475,761406131,6656
1360340030,761413288,1,52,52,1360340004348,1360340004348,761387636,761387636,0
1360340030,761413340,1,52,52,1360340004166,1360340004166,761387506,761387506,0
1360340030,3694693224,1,52,52,1360340003478,1360340003478,3694666702,3694666702,0
1360340030,3694693228,1,52,52,1360340003733,1360340003733,3694666961,3694666961,0
1360340030,3694693228,1,52,52,1360340003733,1360340003733,3694666961,3694666961,0
1360340030,3694693228,1,52,52,1360340003733,1360340003733,3694666961,3694666961,0
1360340030,3694693228,1,52,52,1360340004178,1360340004178,3694667406,3694667406,0
1360340033,761416576,5,478,95.6,1360340027802,1360340027994,761411378,761411570,192
1360340033,761416580,3,165,55,1360340028437,1360340028565,761412017,761412145,128
1360340033,761416620,3,159,53,1360340026604,1360340026668,761410224,761410288,64
1360340034,761417272,1,46,46,1360340006410,1360340006410,761389682,761389682,0
1360340034,761417272,1,46,46,1360340006409,1360340006409,761389681,761389681,0
1360340034,761417360,1,46,46,1360340006321,1360340006321,761389681,761389681,0
1360340034,3694697124,1,46,46,1360340006075,1360340006075,3694669199,3694669199,0
1360340034,3694697124,1,46,46,1360340006075,1360340006075,3694669199,3694669199,0
1360340034,3694697180,1,46,46,1360340006019,1360340006019,3694669199,3694669199,0
1360340034,3694697180,1,46,46,1360340006019,1360340006019,3694669199,3694669199,0
1360340034,3694697180,1,46,46,1360340006019,1360340006019,3694669199,3694669199,0
1360340034,3694697180,1,46,46,1360340006019,1360340006019,3694669199,3694669199,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340034,3694697216,1,46,46,1360340005984,1360340005984,3694669200,3694669200,0
1360340041,761424544,15,13629,908.6,1360340026683,1360340038267,761410227,761421811,11584
1360340042,761425276,1,52,52,1360340014276,1360340014276,761397552,761397552,0
1360340042,761425280,1,52,52,1360340014659,1360340014659,761397939,761397939,0
1360340042,761425280,8,621,77.625,1360340015041,1360340036097,761398321,761419377,21056
1360340042,761425388,7,904,129.1428571,1360340016212,1360340035924,761399600,761419312,19712
1360340042,3694705224,1,52,52,1360340014168,1360340014168,3694677392,3694677392,0
