unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359700793,122178696,5,230,46,1359700766857,1359700781897,122152553,122167593,15040
1359702872,124257640,2,120,60,1359702845471,1359702848479,124231111,124234119,3008
1359703477,124862624,1,46,46,1359703450280,1359703450280,124835904,124835904,0
1359703585,124970896,5,250,50,1359703557141,1359703579349,124943037,124965245,22208
1359703629,125015020,2,96,48,1359703603290,1359703603290,124989310,124989310,0
1359703687,125072872,1,48,48,1359703658349,1359703658349,125044221,125044221,0
1359703890,125275788,1,46,46,1359703864383,1359703864383,125250171,125250171,0
1359704260,125645752,1,48,48,1359704233372,1359704233372,125619124,125619124,0
1359704844,126230136,2,116,58,1359704819796,1359704822868,126205932,126209004,3072
1359704856,126242196,1,46,46,1359704828823,1359704828823,126215019,126215019,0
1359704920,126306112,3,180,60,1359704892841,1359704901801,126278953,126287913,8960
1359705093,126478412,1,46,46,1359705065378,1359705065378,126450790,126450790,0
1359705197,126582708,5,230,46,1359705172024,1359705187064,126557732,126572772,15040
1359705241,126626776,3,180,60,1359705216883,1359705225843,126602659,126611619,8960
1359705534,126919400,5,230,46,1359705509224,1359705524136,126894624,126909536,14912
1359706372,127757332,1,46,46,1359706343904,1359706343904,127729236,127729236,0
1359706592,127978196,1,46,46,1359706565628,1359706565628,127951824,127951824,0
1359707334,128719660,5,230,46,1359707308810,1359707323786,128694470,128709446,14976
1359707567,128952440,1,46,46,1359707539234,1359707539234,128924674,128924674,0
1359709401,130786520,1,48,48,1359709373814,1359709373814,130759334,130759334,0
1359709973,131358240,1,48,48,1359709948038,1359709948038,131333278,131333278,0
1359710229,131614704,1,46,46,1359710201199,1359710201199,131586903,131586903,0
1359710229,131614708,1,46,46,1359710201516,1359710201516,131587224,131587224,0
1359710935,132320940,5,230,46,1359710909049,1359710924089,132294989,132310029,15040
1359711797,133182460,1,46,46,1359711772492,1359711772492,133157952,133157952,0
1359712597,133982956,1,48,48,1359712568337,1359712568337,133954293,133954293,0
1359714078,135463632,2,104,52,1359714051071,1359714054079,135436703,135439711,3008
1359714571,135956448,1,46,46,1359714545709,1359714545709,135931157,135931157,0
1359714787,136173084,1,46,46,1359714759983,1359714759983,136146067,136146067,0
1359715845,137230656,1,60,60,1359715819916,1359715819916,137205572,137205572,0
1359716430,137815772,1,46,46,1359716403660,1359716403660,137789432,137789432,0
1359717944,139330048,2,106,53,1359717916194,1359717916322,139302242,139302370,128
1359717972,139358064,4,1257,314.25,1359717944336,1359717964752,139330400,139350816,20416
1359718004,139390172,2,806,403,1359717976871,1359718001063,139363043,139387235,24192
1359718056,139442172,1,48,48,1359718028837,1359718028837,139415009,139415009,0
1359718101,139486524,1,46,46,1359718074092,1359718074092,139459616,139459616,0
1359718137,139522404,5,230,46,1359718109028,1359718123940,139494432,139509344,14912
1359718543,139928512,1,48,48,1359718517296,1359718517296,139902808,139902808,0
1359718573,139959092,1,46,46,1359718548267,1359718548267,139934359,139934359,0
1359719208,140593992,1,48,48,1359719179848,1359719179848,140565840,140565840,0
1359719319,140704760,3,180,60,1359719293166,1359719302126,140678926,140687886,8960
1359719644,141029304,3,180,60,1359719617586,1359719626546,141002890,141011850,8960
1359733800,155185824,1,46,46,1359733775890,1359733775890,155161714,155161714,0
1359733920,155305208,1,48,48,1359733891830,1359733891830,155277038,155277038,0
1359734055,155440852,3,168,56,1359734050291,1359734051315,155436143,155437167,1024
