unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1362082190,2503567796,19,9348,492,1362082185957,1362082186917,2503563753,2503564713,960
1362082190,2503567864,4,395,98.75,1362082184161,1362082186209,2503562025,2503564073,2048
1362082190,2503567908,19,5169,272.0526316,1362082182901,1362082183285,2503560809,2503561193,384
1362082197,2503575016,4,373,93.25,1362082184524,1362082193612,2503562540,2503571628,9088
1362082204,2503582092,28,7551,269.6785714,1362082176512,1362082183680,2503554604,2503561772,7168
1362082206,1141898256,7,6581,940.1428571,1362082181820,1362082181884,1141874076,1141874140,64
1362082208,2503586120,36,17091,474.75,1362082181409,1362082184289,2503559529,2503562409,2880
1362082208,2503586124,2,92,46,1362082181600,1362082181664,2503559724,2503559788,64
1362082208,2503586164,21,12916,615.047619,1362082182648,1362082183160,2503560812,2503561324,512
1362082208,2503586240,14,11929,852.0714286,1362082181164,1362082181420,2503559404,2503559660,256
1362082208,2503586240,11,12760,1160,1362082181164,1362082181420,2503559404,2503559660,256
1362082208,2503586244,1,46,46,1362082181480,1362082181480,2503559724,2503559724,0
1362082208,2503586244,1,46,46,1362082181480,1362082181480,2503559724,2503559724,0
1362082208,2503586244,3,138,46,1362082181480,1362082181480,2503559724,2503559724,0
1362082208,2503586244,9,1162,129.1111111,1362082181607,1362082181735,2503559851,2503559979,128
1362082208,2503586244,9,1170,130,1362082181606,1362082181734,2503559850,2503559978,128
1362082208,2503586288,5,441,88.2,1362082183098,1362082183226,2503561386,2503561514,128
1362082210,1141902212,19,22689,1194.157895,1362082181993,1362082182057,1141874205,1141874269,64
1362082212,2503590072,3,527,175.6666667,1362082184018,1362082184018,2503562090,2503562090,0
1362082212,2503590160,16,12673,792.0625,1362082186940,1362082187132,2503565100,2503565292,192
1362082212,2503590164,18,12901,716.7222222,1362082187256,1362082187896,2503565420,2503566060,640
1362082212,2503590168,4,1338,334.5,1362082183859,1362082183923,2503562027,2503562091,64
1362082212,2503590192,4,431,107.75,1362082183897,1362082183961,2503562089,2503562153,64
1362082212,2503590196,4,1262,315.5,1362082184023,1362082184087,2503562219,2503562283,64
1362082212,2503590196,4,377,94.25,1362082184086,1362082184150,2503562282,2503562346,64
1362082212,2503590196,4,1333,333.25,1362082184086,1362082184150,2503562282,2503562346,64
1362082212,2503590240,1,52,52,1362082185707,1362082185707,2503563947,2503563947,0
1362082212,2503590240,1,52,52,1362082185707,1362082185707,2503563947,2503563947,0
1362082212,2503590284,6,1190,198.3333333,1362082186943,1362082187071,2503565227,2503565355,128
1362082214,1141906248,5,1270,254,1362082187716,1362082188228,1141879964,1141880476,512
1362082224,2503602096,2,152,76,1362082195833,1362082210873,2503573929,2503588969,15040
1362082236,2503614204,1,52,52,1362082211278,1362082211278,2503589482,2503589482,0
1362082240,2503618336,1,52,52,1362082213641,1362082213641,2503591977,2503591977,0
1362082240,2503618460,1,46,46,1362082213519,1362082213519,2503591979,2503591979,0
1362082244,2503622576,3,138,46,1362082236059,1362082236123,2503614635,2503614699,64
1362082244,2503622592,3,138,46,1362082240972,1362082240972,2503619564,2503619564,0
1362082244,2503622592,3,138,46,1362082240972,1362082241036,2503619564,2503619628,64
1362082245,2503622684,3,138,46,1362082241876,1362082241940,2503619560,2503619624,64
1362082245,2503622684,3,138,46,1362082242008,1362082242008,2503619692,2503619692,0
1362082252,1141944708,139,190411,1369.863309,1362082187578,1362082246906,1141880286,1141939614,59328
1362082252,2503630192,2,152,76,1362082225753,1362082240729,2503603945,2503618921,14976
1362082253,2503630640,3,209,69.66666667,1362082247424,1362082247424,2503625064,2503625064,0
1362082253,2503630724,5,325,65,1362082247343,1362082247407,2503625067,2503625131,64
1362082253,2503630724,2,157,78.5,1362082247343,1362082247343,2503625067,2503625067,0
1362082256,2503634324,2,104,52,1362082231318,1362082241046,2503609642,2503619370,9728
1362082260,2503638160,2,104,52,1362082234170,1362082243834,2503612330,2503621994,9664
1362082260,2503638160,2,104,52,1362082234170,1362082243834,2503612330,2503621994,9664
1362082260,2503638280,2,104,52,1362082233794,1362082243714,2503612074,2503621994,9920
1362082266,1141958256,1,52,52,1362082241790,1362082241790,1141934046,1141934046,0
1362082268,2503646152,1,52,52,1362082241218,1362082241218,2503619370,2503619370,0
1362082268,2503646204,2,104,52,1362082243470,1362082243790,2503621674,2503621994,320
1362082268,2503646252,1,52,52,1362082241117,1362082241117,2503619369,2503619369,0
1362082268,2503646324,1,52,52,1362082243668,1362082243668,2503621992,2503621992,0
